frequency [Hz],input_power[dBm]
625000000.0,-2.3232323232323235
650000000.0,-2.3232323232323235
675000000.0,-2.3232323232323235
700000000.0,-2.3232323232323235
725000000.0,-1.5555555555555554
750000000.0,-1.5555555555555554
775000000.0,-2.1313131313131315
800000000.0,-1.7474747474747474
825000000.0,-2.5151515151515156
850000000.0,-3.282828282828283
875000000.0,-1.9393939393939394
900000000.0,-1.5555555555555554
925000000.0,-1.363636363636365
950000000.0,-0.21212121212121282
975000000.0,-1.0
1000000000.0,-0.40404040404040487
1025000000.0,2.09090909090909
1050000000.0,-0.5959595959595969
1075000000.0,0.7474747474747474
1100000000.0,-0.020202020202020776
1125000000.0,0.7474747474747474
1150000000.0,7.848484848484848
1175000000.0,8.808080808080806
1200000000.0,8.424242424242422
1225000000.0,8.424242424242422
1250000000.0,1.898989898989898
1275000000.0,3.4343434343434343
1300000000.0,3.242424242424242
1325000000.0,2.858585858585858
1350000000.0,0.9393939393939394
1375000000.0,1.1313131313131297
1400000000.0,0.9393939393939394
1425000000.0,0.7474747474747474
1450000000.0,1.5151515151515138
1475000000.0,4.393939393939393
1500000000.0,3.8181818181818166
1525000000.0,4.585858585858585
1550000000.0,2.282828282828282
1575000000.0,8.424242424242422
1600000000.0,3.6262626262626245
1625000000.0,6.6969696969696955
